State,Country,Date,Measure,value,daily_change
French Polynesia,France,2020-02-02,recovered,0,0
Fujian,China,2020-02-02,recovered,0,0
Gansu,China,2020-02-02,recovered,3,3
Gibraltar,UK,2020-02-02,recovered,0,0
Grand Princess,Canada,2020-02-02,recovered,0,0
Greenland,Denmark,2020-02-02,recovered,0,0
Guadeloupe,France,2020-02-02,recovered,0,0
Guangdong,China,2020-02-02,recovered,15,1
Guangxi,China,2020-02-02,recovered,2,0
Guizhou,China,2020-02-02,recovered,2,0
Hainan,China,2020-02-02,recovered,4,3
Hebei,China,2020-02-02,recovered,3,3
Heilongjiang,China,2020-02-02,recovered,2,0
Henan,China,2020-02-02,recovered,10,7
Hong Kong,China,2020-02-02,recovered,0,0
Hubei,China,2020-02-02,recovered,295,127
Hunan,China,2020-02-02,recovered,16,8
Inner Mongolia,China,2020-02-02,recovered,1,0
Isle of Man,UK,2020-02-02,recovered,0,0
Jiangsu,China,2020-02-02,recovered,7,1
Jiangxi,China,2020-02-02,recovered,12,3
Jilin,China,2020-02-02,recovered,1,0
Liaoning,China,2020-02-02,recovered,1,0
Macau,China,2020-02-02,recovered,0,0
Manitoba,Canada,2020-02-02,recovered,0,0
Martinique,France,2020-02-02,recovered,0,0
Mayotte,France,2020-02-02,recovered,0,0
Montserrat,UK,2020-02-02,recovered,0,0
New Brunswick,Canada,2020-02-02,recovered,0,0
New Caledonia,France,2020-02-02,recovered,0,0
New South Wales,Australia,2020-02-02,recovered,2,0
Newfoundland and Labrador,Canada,2020-02-02,recovered,0,0
Ningxia,China,2020-02-02,recovered,0,0
Northern Territory,Australia,2020-02-02,recovered,0,0
Northwest Territories,Canada,2020-02-02,recovered,0,0
Nova Scotia,Canada,2020-02-02,recovered,0,0
Ontario,Canada,2020-02-02,recovered,0,0
Prince Edward Island,Canada,2020-02-02,recovered,0,0
Qinghai,China,2020-02-02,recovered,0,0
Quebec,Canada,2020-02-02,recovered,0,0
Queensland,Australia,2020-02-02,recovered,0,0
Recovered,Canada,2020-02-02,recovered,0,0
Reunion,France,2020-02-02,recovered,0,0
Saint Barthelemy,France,2020-02-02,recovered,0,0
Saint Pierre and Miquelon,France,2020-02-02,recovered,0,0
Saskatchewan,Canada,2020-02-02,recovered,0,0
Shaanxi,China,2020-02-02,recovered,0,0
Shandong,China,2020-02-02,recovered,6,3
Shanghai,China,2020-02-02,recovered,10,0
Shanxi,China,2020-02-02,recovered,3,2
Sichuan,China,2020-02-02,recovered,11,8
Sint Maarten,Netherlands,2020-02-02,recovered,0,0
South Australia,Australia,2020-02-02,recovered,0,0
St Martin,France,2020-02-02,recovered,0,0
Tasmania,Australia,2020-02-02,recovered,0,0
Tianjin,China,2020-02-02,recovered,1,1
Tibet,China,2020-02-02,recovered,0,0
Turks and Caicos Islands,UK,2020-02-02,recovered,0,0
Victoria,Australia,2020-02-02,recovered,0,0
Western Australia,Australia,2020-02-02,recovered,0,0
Xinjiang,China,2020-02-02,recovered,0,0
Yukon,Canada,2020-02-02,recovered,0,0
Yunnan,China,2020-02-02,recovered,3,1
Zhejiang,China,2020-02-02,recovered,32,11
,Afghanistan,2020-02-02,recovered,0,0
,Albania,2020-02-02,recovered,0,0
,Algeria,2020-02-02,recovered,0,0
,Andorra,2020-02-02,recovered,0,0
,Angola,2020-02-02,recovered,0,0
,Antigua and Barbuda,2020-02-02,recovered,0,0
,Argentina,2020-02-02,recovered,0,0
,Armenia,2020-02-02,recovered,0,0
,Austria,2020-02-02,recovered,0,0
,Azerbaijan,2020-02-02,recovered,0,0
,Bahamas,2020-02-02,recovered,0,0
,Bahrain,2020-02-02,recovered,0,0
,Bangladesh,2020-02-02,recovered,0,0
,Barbados,2020-02-02,recovered,0,0
,Belarus,2020-02-02,recovered,0,0
,Belgium,2020-02-02,recovered,0,0
,Belize,2020-02-02,recovered,0,0
,Benin,2020-02-02,recovered,0,0
,Bhutan,2020-02-02,recovered,0,0
,Bolivia,2020-02-02,recovered,0,0
,Bosnia and Herzegovina,2020-02-02,recovered,0,0
,Botswana,2020-02-02,recovered,0,0
,Brazil,2020-02-02,recovered,0,0
,Brunei,2020-02-02,recovered,0,0
,Bulgaria,2020-02-02,recovered,0,0
,Burkina Faso,2020-02-02,recovered,0,0
,Burma,2020-02-02,recovered,0,0
,Burundi,2020-02-02,recovered,0,0
,Cabo Verde,2020-02-02,recovered,0,0
,Cambodia,2020-02-02,recovered,0,0
,Cameroon,2020-02-02,recovered,0,0
,Central African Republic,2020-02-02,recovered,0,0
,Chad,2020-02-02,recovered,0,0
,Chile,2020-02-02,recovered,0,0
,Colombia,2020-02-02,recovered,0,0
,Congo (Brazzaville),2020-02-02,recovered,0,0
,Congo (Kinshasa),2020-02-02,recovered,0,0
,Costa Rica,2020-02-02,recovered,0,0
,Cote d'Ivoire,2020-02-02,recovered,0,0
,Croatia,2020-02-02,recovered,0,0
,Cuba,2020-02-02,recovered,0,0
,Cyprus,2020-02-02,recovered,0,0
,Czechia,2020-02-02,recovered,0,0
,Denmark,2020-02-02,recovered,0,0
,Diamond Princess,2020-02-02,recovered,0,0
,Djibouti,2020-02-02,recovered,0,0
,Dominica,2020-02-02,recovered,0,0
,Dominican Republic,2020-02-02,recovered,0,0
,Ecuador,2020-02-02,recovered,0,0
,Egypt,2020-02-02,recovered,0,0
,El Salvador,2020-02-02,recovered,0,0
,Equatorial Guinea,2020-02-02,recovered,0,0
,Eritrea,2020-02-02,recovered,0,0
,Estonia,2020-02-02,recovered,0,0
,Eswatini,2020-02-02,recovered,0,0
,Ethiopia,2020-02-02,recovered,0,0
,Fiji,2020-02-02,recovered,0,0
,Finland,2020-02-02,recovered,0,0
,France,2020-02-02,recovered,0,0
,Gabon,2020-02-02,recovered,0,0
,Gambia,2020-02-02,recovered,0,0
,Georgia,2020-02-02,recovered,0,0
,Germany,2020-02-02,recovered,0,0
,Ghana,2020-02-02,recovered,0,0
,Greece,2020-02-02,recovered,0,0
,Grenada,2020-02-02,recovered,0,0
,Guatemala,2020-02-02,recovered,0,0
,Guinea,2020-02-02,recovered,0,0
,Guinea-Bissau,2020-02-02,recovered,0,0
,Guyana,2020-02-02,recovered,0,0
,Haiti,2020-02-02,recovered,0,0
,Holy See,2020-02-02,recovered,0,0
,Honduras,2020-02-02,recovered,0,0
,Hungary,2020-02-02,recovered,0,0
,Iceland,2020-02-02,recovered,0,0
,India,2020-02-02,recovered,0,0
,Indonesia,2020-02-02,recovered,0,0
,Iran,2020-02-02,recovered,0,0
,Iraq,2020-02-02,recovered,0,0
,Ireland,2020-02-02,recovered,0,0
,Israel,2020-02-02,recovered,0,0
,Italy,2020-02-02,recovered,0,0
,Jamaica,2020-02-02,recovered,0,0
,Japan,2020-02-02,recovered,1,0
,Jordan,2020-02-02,recovered,0,0
,Kazakhstan,2020-02-02,recovered,0,0
,Kenya,2020-02-02,recovered,0,0
,"Korea, South",2020-02-02,recovered,0,0
,Kosovo,2020-02-02,recovered,0,0
,Kuwait,2020-02-02,recovered,0,0
,Kyrgyzstan,2020-02-02,recovered,0,0
,Laos,2020-02-02,recovered,0,0
,Latvia,2020-02-02,recovered,0,0
,Lebanon,2020-02-02,recovered,0,0
,Liberia,2020-02-02,recovered,0,0
,Libya,2020-02-02,recovered,0,0
,Liechtenstein,2020-02-02,recovered,0,0
,Lithuania,2020-02-02,recovered,0,0
,Luxembourg,2020-02-02,recovered,0,0
,Madagascar,2020-02-02,recovered,0,0
,Malawi,2020-02-02,recovered,0,0
,Malaysia,2020-02-02,recovered,0,0
,Maldives,2020-02-02,recovered,0,0
,Mali,2020-02-02,recovered,0,0
,Malta,2020-02-02,recovered,0,0
,Mauritania,2020-02-02,recovered,0,0
,Mauritius,2020-02-02,recovered,0,0
,Mexico,2020-02-02,recovered,0,0
,Moldova,2020-02-02,recovered,0,0
,Monaco,2020-02-02,recovered,0,0
,Mongolia,2020-02-02,recovered,0,0
,Montenegro,2020-02-02,recovered,0,0
,Morocco,2020-02-02,recovered,0,0
,Mozambique,2020-02-02,recovered,0,0
,MS Zaandam,2020-02-02,recovered,0,0
,Namibia,2020-02-02,recovered,0,0
,Nepal,2020-02-02,recovered,0,0
,Netherlands,2020-02-02,recovered,0,0
,New Zealand,2020-02-02,recovered,0,0
,Nicaragua,2020-02-02,recovered,0,0
,Niger,2020-02-02,recovered,0,0
,Nigeria,2020-02-02,recovered,0,0
,North Macedonia,2020-02-02,recovered,0,0
,Norway,2020-02-02,recovered,0,0
,Oman,2020-02-02,recovered,0,0
,Pakistan,2020-02-02,recovered,0,0
,Panama,2020-02-02,recovered,0,0
,Papua New Guinea,2020-02-02,recovered,0,0
,Paraguay,2020-02-02,recovered,0,0
,Peru,2020-02-02,recovered,0,0
,Philippines,2020-02-02,recovered,0,0
,Poland,2020-02-02,recovered,0,0
,Portugal,2020-02-02,recovered,0,0
,Qatar,2020-02-02,recovered,0,0
,Romania,2020-02-02,recovered,0,0
,Russia,2020-02-02,recovered,0,0
,Rwanda,2020-02-02,recovered,0,0
,Saint Kitts and Nevis,2020-02-02,recovered,0,0
,Saint Lucia,2020-02-02,recovered,0,0
,Saint Vincent and the Grenadines,2020-02-02,recovered,0,0
,San Marino,2020-02-02,recovered,0,0
,Saudi Arabia,2020-02-02,recovered,0,0
,Senegal,2020-02-02,recovered,0,0
,Serbia,2020-02-02,recovered,0,0
,Seychelles,2020-02-02,recovered,0,0
,Sierra Leone,2020-02-02,recovered,0,0
,Singapore,2020-02-02,recovered,0,0
,Slovakia,2020-02-02,recovered,0,0
,Slovenia,2020-02-02,recovered,0,0
,Somalia,2020-02-02,recovered,0,0
,South Africa,2020-02-02,recovered,0,0
,South Sudan,2020-02-02,recovered,0,0
,Spain,2020-02-02,recovered,0,0
,Sri Lanka,2020-02-02,recovered,0,0
,Sudan,2020-02-02,recovered,0,0
,Suriname,2020-02-02,recovered,0,0
,Sweden,2020-02-02,recovered,0,0
,Switzerland,2020-02-02,recovered,0,0
,Syria,2020-02-02,recovered,0,0
,Taiwan,2020-02-02,recovered,0,0
,Tanzania,2020-02-02,recovered,0,0
,Thailand,2020-02-02,recovered,5,0
,Timor-Leste,2020-02-02,recovered,0,0
,Togo,2020-02-02,recovered,0,0
,Trinidad and Tobago,2020-02-02,recovered,0,0
,Tunisia,2020-02-02,recovered,0,0
,Turkey,2020-02-02,recovered,0,0
,Uganda,2020-02-02,recovered,0,0
,Ukraine,2020-02-02,recovered,0,0
,UAE,2020-02-02,recovered,0,0
,UK,2020-02-02,recovered,0,0
,Uruguay,2020-02-02,recovered,0,0
,US,2020-02-02,recovered,0,0
,Uzbekistan,2020-02-02,recovered,0,0
,Venezuela,2020-02-02,recovered,0,0
,Vietnam,2020-02-02,recovered,1,0
,West Bank and Gaza,2020-02-02,recovered,0,0
,Western Sahara,2020-02-02,recovered,0,0
,Zambia,2020-02-02,recovered,0,0
,Zimbabwe,2020-02-02,recovered,0,0
Alberta,Canada,2020-02-03,confirmed,0,0
Anguilla,UK,2020-02-03,confirmed,0,0
Anhui,China,2020-02-03,confirmed,408,68
Aruba,Netherlands,2020-02-03,confirmed,0,0
Australian Capital Territory,Australia,2020-02-03,confirmed,0,0
Beijing,China,2020-02-03,confirmed,212,21
Bermuda,UK,2020-02-03,confirmed,0,0
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-02-03,confirmed,0,0
British Columbia,Canada,2020-02-03,confirmed,1,0
British Virgin Islands,UK,2020-02-03,confirmed,0,0
Cayman Islands,UK,2020-02-03,confirmed,0,0
Channel Islands,UK,2020-02-03,confirmed,0,0
Chongqing,China,2020-02-03,confirmed,337,37
Curacao,Netherlands,2020-02-03,confirmed,0,0
Diamond Princess,Canada,2020-02-03,confirmed,0,0
Falkland Islands (Islas Malvinas),UK,2020-02-03,confirmed,0,0
Faroe Islands,Denmark,2020-02-03,confirmed,0,0
French Guiana,France,2020-02-03,confirmed,0,0
French Polynesia,France,2020-02-03,confirmed,0,0
Fujian,China,2020-02-03,confirmed,179,20
Gansu,China,2020-02-03,confirmed,55,4
Gibraltar,UK,2020-02-03,confirmed,0,0
Grand Princess,Canada,2020-02-03,confirmed,0,0
Greenland,Denmark,2020-02-03,confirmed,0,0
Guadeloupe,France,2020-02-03,confirmed,0,0
Guangdong,China,2020-02-03,confirmed,725,93
Guangxi,China,2020-02-03,confirmed,127,16
Guizhou,China,2020-02-03,confirmed,46,8
Hainan,China,2020-02-03,confirmed,72,8
Hebei,China,2020-02-03,confirmed,113,9
Heilongjiang,China,2020-02-03,confirmed,121,26
Henan,China,2020-02-03,confirmed,566,73
Hong Kong,China,2020-02-03,confirmed,15,0
Hubei,China,2020-02-03,confirmed,13522,2345
Hunan,China,2020-02-03,confirmed,521,58
Inner Mongolia,China,2020-02-03,confirmed,34,7
Isle of Man,UK,2020-02-03,confirmed,0,0
Jiangsu,China,2020-02-03,confirmed,271,35
Jiangxi,China,2020-02-03,confirmed,391,58
Jilin,China,2020-02-03,confirmed,31,8
Liaoning,China,2020-02-03,confirmed,74,4
Macau,China,2020-02-03,confirmed,8,0
Manitoba,Canada,2020-02-03,confirmed,0,0
Martinique,France,2020-02-03,confirmed,0,0
Mayotte,France,2020-02-03,confirmed,0,0
Montserrat,UK,2020-02-03,confirmed,0,0
New Brunswick,Canada,2020-02-03,confirmed,0,0
New Caledonia,France,2020-02-03,confirmed,0,0
New South Wales,Australia,2020-02-03,confirmed,4,0
Newfoundland and Labrador,Canada,2020-02-03,confirmed,0,0
Ningxia,China,2020-02-03,confirmed,31,3
Northern Territory,Australia,2020-02-03,confirmed,0,0
Northwest Territories,Canada,2020-02-03,confirmed,0,0
Nova Scotia,Canada,2020-02-03,confirmed,0,0
Ontario,Canada,2020-02-03,confirmed,3,0
Prince Edward Island,Canada,2020-02-03,confirmed,0,0
Qinghai,China,2020-02-03,confirmed,13,2
Quebec,Canada,2020-02-03,confirmed,0,0
Queensland,Australia,2020-02-03,confirmed,2,0
Recovered,Canada,2020-02-03,confirmed,0,0
Reunion,France,2020-02-03,confirmed,0,0
Saint Barthelemy,France,2020-02-03,confirmed,0,0
Saint Pierre and Miquelon,France,2020-02-03,confirmed,0,0
Saskatchewan,Canada,2020-02-03,confirmed,0,0
Shaanxi,China,2020-02-03,confirmed,128,12
Shandong,China,2020-02-03,confirmed,259,29
Shanghai,China,2020-02-03,confirmed,203,21
Shanxi,China,2020-02-03,confirmed,74,8
Sichuan,China,2020-02-03,confirmed,254,23
Sint Maarten,Netherlands,2020-02-03,confirmed,0,0
South Australia,Australia,2020-02-03,confirmed,2,0
St Martin,France,2020-02-03,confirmed,0,0
Tasmania,Australia,2020-02-03,confirmed,0,0
Tianjin,China,2020-02-03,confirmed,60,12
Tibet,China,2020-02-03,confirmed,1,0
Turks and Caicos Islands,UK,2020-02-03,confirmed,0,0
Victoria,Australia,2020-02-03,confirmed,4,0
Western Australia,Australia,2020-02-03,confirmed,0,0
Xinjiang,China,2020-02-03,confirmed,24,3
Yukon,Canada,2020-02-03,confirmed,0,0
Yunnan,China,2020-02-03,confirmed,117,12
Zhejiang,China,2020-02-03,confirmed,724,63
,Afghanistan,2020-02-03,confirmed,0,0
,Albania,2020-02-03,confirmed,0,0
,Algeria,2020-02-03,confirmed,0,0
,Andorra,2020-02-03,confirmed,0,0
,Angola,2020-02-03,confirmed,0,0
,Antigua and Barbuda,2020-02-03,confirmed,0,0
,Argentina,2020-02-03,confirmed,0,0
,Armenia,2020-02-03,confirmed,0,0
,Austria,2020-02-03,confirmed,0,0
,Azerbaijan,2020-02-03,confirmed,0,0
,Bahamas,2020-02-03,confirmed,0,0
,Bahrain,2020-02-03,confirmed,0,0
,Bangladesh,2020-02-03,confirmed,0,0
,Barbados,2020-02-03,confirmed,0,0
,Belarus,2020-02-03,confirmed,0,0
,Belgium,2020-02-03,confirmed,0,0
,Belize,2020-02-03,confirmed,0,0
,Benin,2020-02-03,confirmed,0,0
,Bhutan,2020-02-03,confirmed,0,0
,Bolivia,2020-02-03,confirmed,0,0
,Bosnia and Herzegovina,2020-02-03,confirmed,0,0
,Botswana,2020-02-03,confirmed,0,0
,Brazil,2020-02-03,confirmed,0,0
,Brunei,2020-02-03,confirmed,0,0
,Bulgaria,2020-02-03,confirmed,0,0
,Burkina Faso,2020-02-03,confirmed,0,0
,Burma,2020-02-03,confirmed,0,0
,Burundi,2020-02-03,confirmed,0,0
,Cabo Verde,2020-02-03,confirmed,0,0
,Cambodia,2020-02-03,confirmed,1,0
,Cameroon,2020-02-03,confirmed,0,0
,Central African Republic,2020-02-03,confirmed,0,0
,Chad,2020-02-03,confirmed,0,0
,Chile,2020-02-03,confirmed,0,0
,Colombia,2020-02-03,confirmed,0,0
,Congo (Brazzaville),2020-02-03,confirmed,0,0
,Congo (Kinshasa),2020-02-03,confirmed,0,0
,Costa Rica,2020-02-03,confirmed,0,0
,Cote d'Ivoire,2020-02-03,confirmed,0,0
,Croatia,2020-02-03,confirmed,0,0
,Cuba,2020-02-03,confirmed,0,0
,Cyprus,2020-02-03,confirmed,0,0
,Czechia,2020-02-03,confirmed,0,0
,Denmark,2020-02-03,confirmed,0,0
,Diamond Princess,2020-02-03,confirmed,0,0
,Djibouti,2020-02-03,confirmed,0,0
,Dominica,2020-02-03,confirmed,0,0
,Dominican Republic,2020-02-03,confirmed,0,0
,Ecuador,2020-02-03,confirmed,0,0
,Egypt,2020-02-03,confirmed,0,0
,El Salvador,2020-02-03,confirmed,0,0
,Equatorial Guinea,2020-02-03,confirmed,0,0
,Eritrea,2020-02-03,confirmed,0,0
,Estonia,2020-02-03,confirmed,0,0
,Eswatini,2020-02-03,confirmed,0,0
,Ethiopia,2020-02-03,confirmed,0,0
,Fiji,2020-02-03,confirmed,0,0
,Finland,2020-02-03,confirmed,1,0
,France,2020-02-03,confirmed,6,0
,Gabon,2020-02-03,confirmed,0,0
,Gambia,2020-02-03,confirmed,0,0
,Georgia,2020-02-03,confirmed,0,0
,Germany,2020-02-03,confirmed,12,2
,Ghana,2020-02-03,confirmed,0,0
,Greece,2020-02-03,confirmed,0,0
,Grenada,2020-02-03,confirmed,0,0
,Guatemala,2020-02-03,confirmed,0,0
,Guinea,2020-02-03,confirmed,0,0
,Guinea-Bissau,2020-02-03,confirmed,0,0
,Guyana,2020-02-03,confirmed,0,0
,Haiti,2020-02-03,confirmed,0,0
,Holy See,2020-02-03,confirmed,0,0
,Honduras,2020-02-03,confirmed,0,0
,Hungary,2020-02-03,confirmed,0,0
,Iceland,2020-02-03,confirmed,0,0
,India,2020-02-03,confirmed,3,1
,Indonesia,2020-02-03,confirmed,0,0
,Iran,2020-02-03,confirmed,0,0
,Iraq,2020-02-03,confirmed,0,0
,Ireland,2020-02-03,confirmed,0,0
,Israel,2020-02-03,confirmed,0,0
,Italy,2020-02-03,confirmed,2,0
,Jamaica,2020-02-03,confirmed,0,0
,Japan,2020-02-03,confirmed,20,0
,Jordan,2020-02-03,confirmed,0,0
,Kazakhstan,2020-02-03,confirmed,0,0
,Kenya,2020-02-03,confirmed,0,0
,"Korea, South",2020-02-03,confirmed,15,0
,Kosovo,2020-02-03,confirmed,0,0
,Kuwait,2020-02-03,confirmed,0,0
,Kyrgyzstan,2020-02-03,confirmed,0,0
,Laos,2020-02-03,confirmed,0,0
,Latvia,2020-02-03,confirmed,0,0
,Lebanon,2020-02-03,confirmed,0,0
,Liberia,2020-02-03,confirmed,0,0
,Libya,2020-02-03,confirmed,0,0
,Liechtenstein,2020-02-03,confirmed,0,0
,Lithuania,2020-02-03,confirmed,0,0
,Luxembourg,2020-02-03,confirmed,0,0
,Madagascar,2020-02-03,confirmed,0,0
,Malawi,2020-02-03,confirmed,0,0
,Malaysia,2020-02-03,confirmed,8,0
,Maldives,2020-02-03,confirmed,0,0
,Mali,2020-02-03,confirmed,0,0
,Malta,2020-02-03,confirmed,0,0
,Mauritania,2020-02-03,confirmed,0,0
,Mauritius,2020-02-03,confirmed,0,0
,Mexico,2020-02-03,confirmed,0,0
,Moldova,2020-02-03,confirmed,0,0
,Monaco,2020-02-03,confirmed,0,0
,Mongolia,2020-02-03,confirmed,0,0
,Montenegro,2020-02-03,confirmed,0,0
,Morocco,2020-02-03,confirmed,0,0
,Mozambique,2020-02-03,confirmed,0,0
,MS Zaandam,2020-02-03,confirmed,0,0
,Namibia,2020-02-03,confirmed,0,0
,Nepal,2020-02-03,confirmed,1,0
,Netherlands,2020-02-03,confirmed,0,0
,New Zealand,2020-02-03,confirmed,0,0
,Nicaragua,2020-02-03,confirmed,0,0
,Niger,2020-02-03,confirmed,0,0
,Nigeria,2020-02-03,confirmed,0,0
,North Macedonia,2020-02-03,confirmed,0,0
,Norway,2020-02-03,confirmed,0,0
,Oman,2020-02-03,confirmed,0,0
,Pakistan,2020-02-03,confirmed,0,0
,Panama,2020-02-03,confirmed,0,0
,Papua New Guinea,2020-02-03,confirmed,0,0
,Paraguay,2020-02-03,confirmed,0,0
,Peru,2020-02-03,confirmed,0,0
,Philippines,2020-02-03,confirmed,2,0
,Poland,2020-02-03,confirmed,0,0
,Portugal,2020-02-03,confirmed,0,0
,Qatar,2020-02-03,confirmed,0,0
,Romania,2020-02-03,confirmed,0,0
,Russia,2020-02-03,confirmed,2,0
,Rwanda,2020-02-03,confirmed,0,0
,Saint Kitts and Nevis,2020-02-03,confirmed,0,0
,Saint Lucia,2020-02-03,confirmed,0,0
,Saint Vincent and the Grenadines,2020-02-03,confirmed,0,0
,San Marino,2020-02-03,confirmed,0,0
,Saudi Arabia,2020-02-03,confirmed,0,0
,Senegal,2020-02-03,confirmed,0,0
,Serbia,2020-02-03,confirmed,0,0
,Seychelles,2020-02-03,confirmed,0,0
,Sierra Leone,2020-02-03,confirmed,0,0
,Singapore,2020-02-03,confirmed,18,0
,Slovakia,2020-02-03,confirmed,0,0
,Slovenia,2020-02-03,confirmed,0,0
,Somalia,2020-02-03,confirmed,0,0
,South Africa,2020-02-03,confirmed,0,0
,South Sudan,2020-02-03,confirmed,0,0
,Spain,2020-02-03,confirmed,1,0
,Sri Lanka,2020-02-03,confirmed,1,0
,Sudan,2020-02-03,confirmed,0,0
,Suriname,2020-02-03,confirmed,0,0
,Sweden,2020-02-03,confirmed,1,0
,Switzerland,2020-02-03,confirmed,0,0
,Syria,2020-02-03,confirmed,0,0
,Taiwan,2020-02-03,confirmed,10,0
,Tanzania,2020-02-03,confirmed,0,0
,Thailand,2020-02-03,confirmed,19,0
,Timor-Leste,2020-02-03,confirmed,0,0
,Togo,2020-02-03,confirmed,0,0
,Trinidad and Tobago,2020-02-03,confirmed,0,0
,Tunisia,2020-02-03,confirmed,0,0
,Turkey,2020-02-03,confirmed,0,0
,Uganda,2020-02-03,confirmed,0,0
,Ukraine,2020-02-03,confirmed,0,0
,UAE,2020-02-03,confirmed,5,0
,UK,2020-02-03,confirmed,2,0
,Uruguay,2020-02-03,confirmed,0,0
,US,2020-02-03,confirmed,11,3
,Uzbekistan,2020-02-03,confirmed,0,0
,Venezuela,2020-02-03,confirmed,0,0
,Vietnam,2020-02-03,confirmed,8,2
,West Bank and Gaza,2020-02-03,confirmed,0,0
,Western Sahara,2020-02-03,confirmed,0,0
,Zambia,2020-02-03,confirmed,0,0
,Zimbabwe,2020-02-03,confirmed,0,0
Alberta,Canada,2020-02-03,deaths,0,0
Anguilla,UK,2020-02-03,deaths,0,0
Anhui,China,2020-02-03,deaths,0,0
Aruba,Netherlands,2020-02-03,deaths,0,0
Australian Capital Territory,Australia,2020-02-03,deaths,0,0
Beijing,China,2020-02-03,deaths,1,0
Bermuda,UK,2020-02-03,deaths,0,0
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-02-03,deaths,0,0
British Columbia,Canada,2020-02-03,deaths,0,0
British Virgin Islands,UK,2020-02-03,deaths,0,0
Cayman Islands,UK,2020-02-03,deaths,0,0
Channel Islands,UK,2020-02-03,deaths,0,0
Chongqing,China,2020-02-03,deaths,2,0
Curacao,Netherlands,2020-02-03,deaths,0,0
Diamond Princess,Canada,2020-02-03,deaths,0,0
Falkland Islands (Islas Malvinas),UK,2020-02-03,deaths,0,0
Faroe Islands,Denmark,2020-02-03,deaths,0,0
French Guiana,France,2020-02-03,deaths,0,0
French Polynesia,France,2020-02-03,deaths,0,0
Fujian,China,2020-02-03,deaths,0,0
Gansu,China,2020-02-03,deaths,0,0
Gibraltar,UK,2020-02-03,deaths,0,0
Grand Princess,Canada,2020-02-03,deaths,0,0
Greenland,Denmark,2020-02-03,deaths,0,0
Guadeloupe,France,2020-02-03,deaths,0,0
Guangdong,China,2020-02-03,deaths,0,0
Guangxi,China,2020-02-03,deaths,0,0
Guizhou,China,2020-02-03,deaths,0,0
Hainan,China,2020-02-03,deaths,1,0
Hebei,China,2020-02-03,deaths,1,0
Heilongjiang,China,2020-02-03,deaths,2,0
Henan,China,2020-02-03,deaths,2,0
Hong Kong,China,2020-02-03,deaths,0,0
Hubei,China,2020-02-03,deaths,414,64
Hunan,China,2020-02-03,deaths,0,0
Inner Mongolia,China,2020-02-03,deaths,0,0
Isle of Man,UK,2020-02-03,deaths,0,0
Jiangsu,China,2020-02-03,deaths,0,0
Jiangxi,China,2020-02-03,deaths,0,0
Jilin,China,2020-02-03,deaths,0,0
Liaoning,China,2020-02-03,deaths,0,0
Macau,China,2020-02-03,deaths,0,0
Manitoba,Canada,2020-02-03,deaths,0,0
Martinique,France,2020-02-03,deaths,0,0
Mayotte,France,2020-02-03,deaths,0,0
Montserrat,UK,2020-02-03,deaths,0,0
New Brunswick,Canada,2020-02-03,deaths,0,0
New Caledonia,France,2020-02-03,deaths,0,0
New South Wales,Australia,2020-02-03,deaths,0,0
Newfoundland and Labrador,Canada,2020-02-03,deaths,0,0
Ningxia,China,2020-02-03,deaths,0,0
Northern Territory,Australia,2020-02-03,deaths,0,0
Northwest Territories,Canada,2020-02-03,deaths,0,0
Nova Scotia,Canada,2020-02-03,deaths,0,0
Ontario,Canada,2020-02-03,deaths,0,0
Prince Edward Island,Canada,2020-02-03,deaths,0,0
Qinghai,China,2020-02-03,deaths,0,0
Quebec,Canada,2020-02-03,deaths,0,0
Queensland,Australia,2020-02-03,deaths,0,0
Recovered,Canada,2020-02-03,deaths,0,0
Reunion,France,2020-02-03,deaths,0,0
Saint Barthelemy,France,2020-02-03,deaths,0,0
Saint Pierre and Miquelon,France,2020-02-03,deaths,0,0
Saskatchewan,Canada,2020-02-03,deaths,0,0
Shaanxi,China,2020-02-03,deaths,0,0
Shandong,China,2020-02-03,deaths,0,0
Shanghai,China,2020-02-03,deaths,1,0
Shanxi,China,2020-02-03,deaths,0,0
Sichuan,China,2020-02-03,deaths,1,0
Sint Maarten,Netherlands,2020-02-03,deaths,0,0
South Australia,Australia,2020-02-03,deaths,0,0
St Martin,France,2020-02-03,deaths,0,0
Tasmania,Australia,2020-02-03,deaths,0,0
Tianjin,China,2020-02-03,deaths,0,0
Tibet,China,2020-02-03,deaths,0,0
Turks and Caicos Islands,UK,2020-02-03,deaths,0,0
Victoria,Australia,2020-02-03,deaths,0,0
Western Australia,Australia,2020-02-03,deaths,0,0
Xinjiang,China,2020-02-03,deaths,0,0
Yukon,Canada,2020-02-03,deaths,0,0
Yunnan,China,2020-02-03,deaths,0,0
Zhejiang,China,2020-02-03,deaths,0,0
,Afghanistan,2020-02-03,deaths,0,0
,Albania,2020-02-03,deaths,0,0
,Algeria,2020-02-03,deaths,0,0
,Andorra,2020-02-03,deaths,0,0
,Angola,2020-02-03,deaths,0,0
,Antigua and Barbuda,2020-02-03,deaths,0,0
,Argentina,2020-02-03,deaths,0,0
,Armenia,2020-02-03,deaths,0,0
,Austria,2020-02-03,deaths,0,0
,Azerbaijan,2020-02-03,deaths,0,0
,Bahamas,2020-02-03,deaths,0,0
